"""No (Text)""","""Marga (Text)""","""Marga (Link)""","""Angkola (Text)""","""Karo (Text)""","""Mandailing (Text)""","""Pakpak (Text)""","""Simalungun (Text)""","""Toba (Text)""","""Keterangan (Text)""","""Description"""
"""80""","""Hutajulu""","""https://id.wikipedia.org/wiki/Hutajulu""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Hutajulu (Surat Batak: ᯂᯮᯖᯐᯮᯞᯮ) adalah salah satu marga Batak Toba yang berasal dari Laguboti, Toba. Hutajulu bersaudara dengan Aruan dan Hutahaean yang merupakan tiga anak dari Raja Pangulu Ponggok Naiborngin, turunan dari Raja Sipaettua. Selain itu marga Hutajulu mengikat janji (marpadan) sebagai seibu (saina) dengan marga Sitorus."""
"""81""","""Hutanamora""","""https://id.wikipedia.org/w/index.php?title=Hutanamora&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Failed to fetch page"""
"""82""","""Hutapea""","""https://id.wikipedia.org/wiki/Hutapea""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Hutapea dapat mengacu pada hal ini:"""
"""83""","""Hutasoit""","""https://id.wikipedia.org/wiki/Hutasoit""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihombing""","""Hutasoit (Surat Batak: ᯂᯮᯖᯘᯬᯤᯖ᯲) adalah salah satu marga Batak Toba yang berasal dari Tipang, Baktiraja, Humbang Hasundutan. Leluhur marga Hutasoit adalah Borsak Bimbinan yang merupakan keturunan anak bungsu dari Toga Sihombing."""
"""84""","""Hutasuhut""","""https://id.wikipedia.org/wiki/Hutasuhut""","""Y""","""T""","""Y""","""T""","""T""","""T""","""""","""Hutasuhut adalah salah satu marga Batak Angkola yang berasal dari Sipirok. Marga Hutasuhut berkerabat dengan marga Pulungan dan Lubis"""
"""85""","""Hutatoruan""","""https://id.wikipedia.org/wiki/Hutatoruan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""86""","""Hutauruk""","""https://id.wikipedia.org/wiki/Hutauruk""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""87""","""Jadibata""","""https://id.wikipedia.org/w/index.php?title=Jadibata&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""88""","""Jampang""","""https://id.wikipedia.org/wiki/Jampang""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""",""""""
"""89""","""Jawak""","""https://id.wikipedia.org/wiki/Jawak""","""T""","""Y""","""T""","""T""","""Y""","""T""","""Dalam subetnis Karo adalah submarga Ginting  Dalam subetnis Simalungun adalah submarga Saragih""","""Sijabat (Surat Batak: ᯘᯪᯐᯅᯖ᯲) merupakan salah satu marga Batak Toba yang berasal dari Samosir. Marga Sijabat diyakini sebagai asal dari marga Dajawak yang ada di Simalungun serta marga Ginting Jawak yang ada di Taneh Karo."""
"""90""","""Kaban""","""https://id.wikipedia.org/wiki/Kaban""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""{{Infobox Marga Karo
|nama=Kaban
|aksara=ᯂᯆᯉ᯳  (Surat  Karo)
|marga=Kaban
|alias=Karokaro Kaban
|induk=Karokaro
|suku=[[Suku |]
|etnis= Karo}}
Kaban (Surat : ᯂᯆᯉ᯳; disebut juga sebagai Karokaro Kaban) adalah salah satu marga Batak  yang termasuk ke dalam induk marga Karokaro.[1]"""
"""91""","""Kabeaken""","""https://id.wikipedia.org/w/index.php?title=Kabeaken&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""92""","""Kacaribu""","""https://id.wikipedia.org/wiki/Kacaribu""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""No description found"""
"""93""","""Kaloko""","""https://id.wikipedia.org/wiki/Kaloko""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Sihaloho (Surat Batak: ᯘᯪᯂᯞᯬᯂᯬ) adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur Marga Sihaloho adalah Loho Raja, anak sulung dari Raja Silahisabungan. [1][2]"""
"""94""","""Karo-karo""","""https://id.wikipedia.org/wiki/Karo-karo""","""T""","""Y""","""T""","""T""","""T""","""T""","""""","""Karokaro (Surat  Karo: ᯂᯒᯨᯂᯒᯨ) adalah salah satu dari lima marga induk  Karo yang disebut sebagai Merga Silima.[1]"""
"""95""","""Keling""","""https://id.wikipedia.org/w/index.php?title=Keling_(marga)&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Failed to fetch page"""
"""96""","""Keloko""","""https://id.wikipedia.org/wiki/Keloko""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Keloko atau Sembiring Keloko adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Sembiring dan berasal dari Silalahi Nabolak. Marga Keloko adalah keturunan Raja Silahi Sabungan melalui Loho Raja. Kelompok marga keturunan Loho Raja lainnya menggunakan marga Sihaloho, Haloho, Sinaloho, atau Kaloko."""
"""97""","""Kembaren""","""https://id.wikipedia.org/wiki/Kembaren""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Kembaren adalah salah satu cabang (sub-) marga Sembiring, yaitu salah satu dari lima induk marga pada Suku Karo."""
"""98""","""Kemit""","""https://id.wikipedia.org/wiki/Kemit""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Kemit (Surat Batak: ᯂᯧᯔᯗᯪ᯳; disebut juga sebagai Karokaro Kemit) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro.[1]"""
"""99""","""Ketaren""","""https://id.wikipedia.org/wiki/Ketaren""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Ketaren (Surat Batak: ᯂᯧᯗᯒᯉᯧ᯳; disebut juga sebagai Karokaro Ketaren) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro.[1]"""
"""100""","""Kombih""","""https://id.wikipedia.org/wiki/Kombih""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Kombih adalah salah satu marga Pakpak yang berasal dari suak Boang, marga Kombih juga terdapat pada masyarakat suku Singkil. Marga Kombih merupakan pendiri kerajaan Binanga di daerah Singkil."""
"""101""","""Kudadiri""","""https://id.wikipedia.org/wiki/Kudadiri""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Kudadiri (Surat Batak: ᯂᯮᯑᯑᯪᯒᯪ) adalah salah satu marga Batak Pakpak yang berasal dari Suak Keppas. Marga Kudadiri merupakan pemilik hak ulayat di Sitinjo, Dairi, yang kemudian di atasnya berdiri Taman Wisata Iman Dairi."""
"""102""","""Lembeng""","""https://id.wikipedia.org/wiki/Lembeng""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Limbong (Surat Batak: ᯞᯔᯪ᯲ᯅᯬᯰ) adalah salah satu marga Batak Toba. Limbong juga salah satu marga tertua di masyarakat Batak Toba, karena hanya memiliki jarak 4 generasi dengan Siraja Batak.[1] Leluhur marga Limbong adalah Limbong Mulana, yang berasal dari Sianjur Mulamula, Samosir.[2]"""
"""103""","""Limbong""","""https://id.wikipedia.org/wiki/Limbong""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Limbong (Surat Batak: ᯞᯔᯪ᯲ᯅᯬᯰ) adalah salah satu marga Batak Toba. Limbong juga salah satu marga tertua di masyarakat Batak Toba, karena hanya memiliki jarak 4 generasi dengan Siraja Batak.[1] Leluhur marga Limbong adalah Limbong Mulana, yang berasal dari Sianjur Mulamula, Samosir.[2]"""
"""104""","""Lingga""","""https://id.wikipedia.org/wiki/Lingga""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Lingga dapat mengacu pada beberapa hal berikut:"""
"""105""","""Lintang""","""https://id.wikipedia.org/wiki/Lintang""","""T""","""T""","""Y""","""T""","""T""","""T""","""""","""No description found"""
"""106""","""Lubis""","""https://id.wikipedia.org/wiki/Lubis""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""""","""Lubis (Surat Batak: ᯞᯮᯅᯘᯪ᯲) adalah salah satu marga Batak yang terdapat dalam masyarakat Batak Toba dan Batak Mandailing. Ada yang bermukim di Toba tetapi kebanyakan bermukim di Mandailing Julu. Mandailing Julu merupakan kawasan di Kabupaten Mandailing Natal, yang berada di bagian hulu Sungai Batang Gadis. Menurut riwayat, marga ini merupakan keturunan Daeng Malela gelar Namora Pande Bosi. Lubis Si Baitang menurunkan Lubis di Tamiang, Manambin, dan Pakantan, sedangkan Lubis Si Langkitang menurunkan Lubis di Singengu, Sayur Maincat, dan Tambangan.[1] Berdasarkan tambo/silsilah yang dipublikasikan oleh Sutan Kumala Bulan, marga Lubis telah ada sejak tahun 1500.[2] juga terdapat di sekitar Danau Toba."""
"""107""","""Lumbanbatu""","""https://id.wikipedia.org/wiki/Lumbanbatu""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Marbun""","""Lumban Batu (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ ᯅᯖᯮ; disebut juga sebagai Marbun Lumbanbatu) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""108""","""Lumbangaol""","""https://id.wikipedia.org/wiki/Lumbangaol""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Marbun""","""Lumban Gaol (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ ᯎᯀᯞᯬ᯲; disebut juga sebagai Marbun Lumbangaol) adalah salah satu marga Batak Toba yang termasuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""109""","""Lumbannahor""","""https://id.wikipedia.org/wiki/Lumbannahor""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Lumbannahor (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ᯉᯂᯒᯬ᯲; ditulis juga sebagai Lumban Nahor; atau juga dikenal sebagai Sirumahombar) adalah satu marga Batak Toba dan merupakan sub-marga dari marga Nainggolan. Leluhur marga Lumbannahor adalah Raja Nahor yang merupakan cucu ketiga dari Toga Nainggolan yang berasal dari Nainggolan, Samosir.[1]"""
"""110""","""Lumbanpea""","""https://id.wikipedia.org/wiki/Lumbanpea""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Tambunan""","""Tambun atau Tambunan (Surat Batak: ᯖᯔ᯲ᯅᯮᯉᯉ᯲; ᯖᯔ᯲ᯅᯉᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba. Leluhur marga Tambunan adalah Raja Tambun, anak bungsu dari Raja Silahisabungan, yang berasal dari Silalahi Nabolak, dengan istrinya yaitu Si Boru Similingiling, putri dari Raja Mangarerak."""
"""111""","""Lumbanraja""","""https://id.wikipedia.org/wiki/Lumbanraja""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Lumbanraja (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ᯒᯐ; ditulis juga sebagai Lumban Raja) adalah salah satu marga Batak Toba yang merupakan sub-marga dari marga Nainggolan. Leluhur marga Lumbanraja adalah Datu Parulas Parultop, keturunan dari Tungkup Raja, cucu keempat dari Toga Nainggolan, anak keempat dari Raja Lontung dan berasal dari Nainggolan, Samosir.[1]"""
"""112""","""Lumbansiantar""","""https://id.wikipedia.org/wiki/Lumbansiantar""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Lumbansiantar (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ ᯘᯪᯀᯉ᯲ᯖᯒ᯲; ditulis juga sebagai Lumban Siantar) adalah salah satu marga Batak Toba dan merupakan sub-marga dari marga Nainggolan. Leluhur marga Lumbansiantar adalah Raja Padot, cucu terakhir dari Toga Nainggolan yang berasal dari Nainggolan, Samosir.[1]"""
"""113""","""Lumbantobing""","""https://id.wikipedia.org/wiki/Lumbantobing""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Lumbantobing (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ᯖᯬᯅᯪᯰ; ditulis juga sebagai Lumban Tobing atau Tobing) adalah salah satu marga Batak Toba yang berasal dari daerah Pearaja, Tarutung, Tapanuli Utara. Marga Lumbantobing bersama marga Hutapea merupakan keturunan dari Si Raja Hutatoruan dan termasuk ke dalam kelompok marga Si Opat Pusoran.[1]"""
"""114""","""Lumbantoruan""","""https://id.wikipedia.org/wiki/Lumbantoruan""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihombing""","""No description found"""
"""115""","""Lumbantungkup""","""https://id.wikipedia.org/wiki/Lumbantungkup""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Lumbantungkup (Surat Batak: ᯞᯔᯮ᯲ᯅᯉ᯲ᯖᯮᯰᯂᯇᯮ᯲) ditulis juga sebagai Lumban Tungkup) adalah salah satu marga Batak Toba dan merupakan sub-marga dari marga Nainggolan. Leluhur marga Lumbantungkup adalah Tanja Bau yang merupakan keturunan dari Tungkup Raja, cucu keempat dari Toga Nainggolan yang berasal dari Nainggolan, Samosir.[1]"""
"""116""","""Maha""","""https://id.wikipedia.org/wiki/Maha""","""T""","""Y""","""T""","""Y""","""T""","""T""","""Dalam subetnis Karo adalah sub-marga Sembiring""","""Maha dapat mengacu pada hal ini:"""
"""117""","""Maharaja""","""https://id.wikipedia.org/wiki/Maharaja""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Maharaja adalah salah satu gelar yang dikenal di Indonesia, biasanya merujuk pada penguasa monarki yang tingkatannya setara dengan kaisar sekaligus berada di atas raja, meskipun pada keberjalanannya juga digunakan untuk kaum bangsawan dan pejabat tinggi. Gelar ini berasal dari bahasa Hindi dan Sanskerta kuno महाराज (maharaja). Dalam bahasa Hindi, akhiran 'a' tidak diucapkan, sehingga kata ini diucapkan sebagai """"Maharaj"""". Istilah maharaja mulai digunakan di Nusantara seiring masuknya pengaruh agama Hindu."""
"""118""","""Mahulae""","""https://id.wikipedia.org/wiki/Mahulae""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Mahulae (Surat Batak: ᯔᯂᯮᯞᯀᯩ) adalah salah satu marga Batak Toba yang berasal dari Pusuk, Parlilitan dan merupakan sub-marga dari marga Nainggolan.  Leluhur marga Mahulae adalah Tuan Ampir Guru Panuju, anak ketiga dari Datu Parulas Parultop, keturunan dari Tungkup Raja, cucu keempat dari Toga Nainggolan yang berasal dari Nainggolan, Samosir.[1]"""
"""119""","""Malau""","""https://id.wikipedia.org/wiki/Malau""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Malau (Surat Batak: ᯔᯞᯥ) adalah salah satu marga Batak Toba yang berasal dari Pangururan, Samosir. Leluhur marga Malau adalah Paseraja, salah satu keturunan Malau Raja. Keturunan lainnya adalah Manik, Ambarita, dan Gurning. Leluhur marga Malau menempati wilayah Pangururan dan merupakan anggota bius Si Ualu Tali bersama marga Simbolon, Sitanggang, Sigalingging, dan Naibaho.[1]"""
"""120""","""Manalu""","""https://id.wikipedia.org/wiki/Manalu""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Simamora""","""No description found"""
"""121""","""Manihuruk""","""https://id.wikipedia.org/wiki/Manihuruk""","""T""","""Y""","""T""","""T""","""Y""","""Y""","""Dalam subetnis Karo adalah submarga Ginting  Dalam subetnis Simalungun adalah submarga Saragih""","""Manihuruk (Surat Batak: ᯔᯉᯪᯂᯮᯒᯂᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari Pangururan, Samosir."""
"""122""","""Manik""","""https://id.wikipedia.org/wiki/Manik""","""T""","""Y""","""T""","""T""","""Y""","""Y""","""Dalam subetnis Karo adalah submarga Ginting  dan submarga Karokaro""","""Manik (Surat Batak: ᯔᯉᯂᯪ᯲) adalah salah satu marga Batak yang berasal dari etnis Batak Toba, Batak Pakpak, dan Batak Karo. Terdapat enam jenis kelompok marga Manik dengan leluhur atau moyang yang berbeda di antara beberapa etnis Batak, di mana di antara keenam kelompok marga tersebut tidak memiliki hubungan maupun keterkaitan antara satu dengan yang lain meskipun menyandang marga yang sama."""
"""123""","""Manik Kecupak""","""https://id.wikipedia.org/w/index.php?title=Manik_Kecupak&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""124""","""Manurung""","""https://id.wikipedia.org/wiki/Manurung""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""125""","""Marbun""","""https://id.wikipedia.org/wiki/Marbun""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Marbun (Surat Batak: ᯔᯒ᯲ᯅᯉᯮ᯲) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""126""","""Mardia""","""https://id.wikipedia.org/wiki/Mardia""","""T""","""T""","""Y""","""T""","""T""","""T""","""Submarga Rangkuti""","""Mardia adalah marga Mandailing. Sesuai dengan tarombo,leluhur marga Mardia adalah keturunan dari Marga Rangkuti."""
"""127""","""Marpaung""","""https://id.wikipedia.org/wiki/Marpaung""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Marpaung (Surat Batak: ᯔᯒ᯲ᯇᯥᯰ ) adalah salah satu marga Batak Toba dan Batak Angkola yang berasal dari daerah Balige. Leluhur marga Marpaung merupakan keturunan dari Paung Mangaraja (Raja Marpaung)."""
"""128""","""Matanari""","""https://id.wikipedia.org/w/index.php?title=Matanari&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""129""","""Matondang""","""https://id.wikipedia.org/wiki/Matondang""","""Y""","""T""","""T""","""T""","""T""","""Y""","""""","""Matondang adalah salah satu marga Batak Toba yang termasuk ke dalam kelompok marga keturunan Si Raja Borbor."""
"""130""","""Meka""","""https://id.wikipedia.org/wiki/Meka""","""T""","""T""","""T""","""Y""","""T""","""Y""","""Submarga Marbun""","""Istilah meka (Jepang: メカcode: ja is deprecated , Hepburn: meka) merujuk kepada gagasan ilmiah dan genre fiksi ilmiah yang terpusat pada robot atau mesin raksasa yang dikendalikan oleh manusia di dalamnya.[1] Meka biasanya digambarkan sebagai robot peranti bergerak humanoid. Istilah tersebut mula-mula dipakai dalam bahasa Jepang (meka) yang diambil dari padanan Inggrisnya mekanikaru ('mekanikal'), tetapi pengartiannya dalam bahasa Jepang bersifat lebih inklusif, dan """"robot"""" (robotto) atau """"robot raksasa"""" adalah istilah yang dipersempit."""
"""131""","""Milala/Meliala""","""https://id.wikipedia.org/wiki/Milala""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Sembiring Meliala/Milala merupakan salah satu cabang(sub-) marga dari marga Sembiring(salah satu dari lima induk marga Karo). Sembiring Meliala(Milala/Maliala) masuk dalam kelompok Sembiring Si La Man Biang (Sembiring yang tidak memakan anjing/memantangkan anjing) dan juga masuk dalam kelompok Singombak (jika meninggal jasadnya dibakar dan abunya dihanyutkan)."""
"""132""","""Muham""","""https://id.wikipedia.org/wiki/Muham""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Muham (Surat Batak: ᯔᯬᯀᯔ᯳; disebut juga sebagai Sembiring Muham) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Sembiring.[1]"""
"""133""","""Mungkur""","""https://id.wikipedia.org/wiki/Mungkur""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Mungkur (Surat Batak: ᯔᯮᯰᯂᯒᯮ᯲) adalah salah satu marga Batak Pakpak yang berasal dari Tanoh Kelasen. Marga ini termasuk ke dalam kelompok marga Marbun.[1]"""
"""134""","""Munte/Munthe""","""https://id.wikipedia.org/wiki/Munte""","""T""","""Y""","""T""","""Y""","""T""","""Y""","""Dalam subetnis Karo adalah submarga Ginting""","""No description found"""
"""135""","""Nababan""","""https://id.wikipedia.org/wiki/Nababan""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Sihombing""","""Nababan (Surat Batak: ᯉᯅᯅᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari Tipang, Baktiraja, Humbang Hasundutan. Leluhur marga Nababan adalah Borsak Mangatasi, anak ketiga dari Toga Sihombing."""
"""136""","""Nadapdap""","""https://id.wikipedia.org/wiki/Nadapdap""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Nadapdap (Surat Batak: ᯉᯑᯇ᯲ᯑᯇ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Sibisa, Toba. Leluhur marga Nadapdap merupakan salah satu cucu dari Raja Bungabunga yang bergelar Raja Parmahan Silalahi, cucu dari Sondi Raja, anak ketiga dari Raja Silahisabungan."""
"""137""","""Nadeak""","""https://id.wikipedia.org/wiki/Nadeak""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Nadeak (Surat Batak: ᯉᯑᯩᯀᯂ᯲) adalah salah satu marga Batak Toba yang berasal dari Pangururan, Samosir.[1]"""
"""138""","""Nagur""","""https://id.wikipedia.org/w/index.php?title=Nagur&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""139""","""Nahampun""","""https://id.wikipedia.org/wiki/Nahampun""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Nahampun (Surat Batak: ᯉᯂᯔ᯲ᯇᯉᯮ᯲) adalah salah satu marga Batak yang umumnya mewarisi dua ciri kebudayaan, yakni Batak Toba dan Batak Dairi. Marga Nahampun termasuk ke dalam kelompok marga Si Onom Hudon (bahasa Indonesia: Si enam periuk). Marga Nahampun berasal dari Pearaja, Parlilitan, Humbang Hasundutan."""
"""140""","""Naibaho""","""https://id.wikipedia.org/wiki/Naibaho""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Naibaho (Surat Batak: ᯉᯤᯅᯂᯬ) merupakan salah satu marga Batak Toba yang berasal dari Pangururan, Samosir. Marga Naibaho merupakan keturunan dari Baho Raja, anak sulung dari Siraja Oloan."""
"""141""","""Naiborhu""","""https://id.wikipedia.org/wiki/Naiborhu""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Naiborhu (Surat Batak: ᯉᯤᯅᯒᯬ᯲ᯂᯮ) adalah salah satu marga Batak Toba. Leluhur marga Naiborhu bernama Raja Pangindingan yang merupakan keturunan Silahisabungan yang keturunannya berasal dari Naga Timbul, Bonatua Lunasi, Toba."""
"""142""","""Nainggolan""","""https://id.wikipedia.org/wiki/Nainggolan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Nainggolan (Surat Batak: ᯉᯤᯰᯎᯬᯞᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari Nainggolan, Samosir. Marga Nainggolan merupakan keturunan dari Toga Nainggolan, anak keempat dari Raja Lontung.[1]"""
"""143""","""Naipospos""","""https://id.wikipedia.org/wiki/Naipospos""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Naipospos (Surat Batak: ᯉᯤᯇᯘᯬ᯲ᯇᯘᯬ᯲) adalah salah satu marga Batak Toba yang merupakan keturunan dari Raja Naipospos. Raja Naipospos sendiri memiliki 5 (lima) orang putra yang menurunkan 7 (tujuh) marga. Hal tersebut menyebabkan keturunan Raja Naipospos disebut sebagai Naipospos silima saama pitu marga (keturunan Naipospos lima bersaudara tujuh marga)"""
"""144""","""Napitu""","""https://id.wikipedia.org/wiki/Napitu""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Napitu (Surat Batak: ᯉᯇᯪᯖᯮ) adalah salah satu marga Batak Toba yang berasal dari Samosir. Kelompok marga Napitu yang menyebar ke daerah Simalungun menggunakan marga Saragih Napitu. Beberapa kelompok marga ini yang menyebar dari daerah Tigaras juga menggunakan marga Saragi Napitu."""
"""145""","""Napitupulu""","""https://id.wikipedia.org/wiki/Napitupulu""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Napitupulu (Surat Batak: ᯉᯇᯪᯖᯮᯇᯮᯞᯮ) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba."""
"""146""","""Nasution""","""https://id.wikipedia.org/wiki/Nasution""","""Y""","""T""","""Y""","""T""","""T""","""T""","""""","""Nasution (Surat Batak: ᯉᯚᯮᯖᯪᯀᯉᯬ᯲) adalah salah satu marga Batak Mandailing dan Batak Angkola yang berasal dari kawasan Mandailing Godang."""
"""147""","""Ompusunggu""","""https://id.wikipedia.org/wiki/Ompusunggu""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Aritonang""","""Ompusunggu (Surat Batak: ᯀᯔᯬ᯲ᯇᯮᯘᯮᯰᯎᯮ) adalah salah satu marga Batak Toba yang berasal dari Aritonang, Muara, Tapanuli Utara. Ompusunggu merupakan sub-marga dari marga Aritonang yang mana leluhur marga Ompusunggu adalah anak pertama dari Toga Aritonang."""
"""148""","""Padang""","""https://id.wikipedia.org/wiki/Padang_(marga)""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""No description found"""
"""149""","""Padang Batanghari""","""https://id.wikipedia.org/wiki/Padang_Batanghari""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Padang Batanghari adalah salah satu marga Pakpak yang berasal dari suak Simsim. Marga Padang Batanghari berkerabat dengan marga Sitakar dan Tinendung."""
"""150""","""Pakpahan""","""https://id.wikipedia.org/wiki/Pakpahan""","""Y""","""T""","""T""","""T""","""T""","""Y""","""Submarga Samosir""","""Pakpahan (Surat Batak:  ᯇᯂ᯲ᯇᯂᯉ᯲) merupakan salah satu marga Batak Toba yang berasal dari Samosir.[1]"""
"""151""","""Pakpak/ Sidapakpak""","""https://id.wikipedia.org/wiki/Purba_Pakpak""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""No description found"""
"""152""","""Pandiangan""","""https://id.wikipedia.org/wiki/Pandiangan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""153""","""Pandebayang""","""https://id.wikipedia.org/wiki/Pandebayang""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Pandebayang (Surat Batak: ᯇᯉ᯳ᯑᯧᯆᯛᯰ; disebut juga sebagai Sembiring Pandebayang) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Sembiring.[1]"""
"""154""","""Pane""","""https://id.wikipedia.org/wiki/Pane""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""Submarga Sitorus""","""Sitorus Pane (Surat Batak: ᯘᯪᯖᯬᯒᯘᯮ᯲ ᯇᯉᯩ; dikenal juga sebagai Pane) adalah salah satu marga Batak yang terdapat dalam masyarakat Batak Toba dan Batak Angkola. Marga Pane merupakan cabang marga dari Sitorus dari garis keturunan Raja Pane gelar Mata Sopiak Sitorus.[1]"""
"""155""","""Pangaribuan""","""https://id.wikipedia.org/wiki/Pangaribuan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Pangaribuan (Surat Batak: ᯇᯝᯒᯪᯅᯮᯀᯉ᯲) merupakan salah satu marga Batak Toba yang berasal dari wilayah Laguboti, Toba. Leluhur marga Pangaribuan merupakan anak sulung dari Puraja Laguboti, turunan dari Raja Sipaettua."""
"""156""","""Panggabean""","""https://id.wikipedia.org/wiki/Panggabean""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Panggabean (Surat Batak: ᯇᯰᯎᯅᯩᯀᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Siatas Barita, Tapanuli Utara. Leluhur marga Panggabean merupakan anak kedua dari Guru Mangaloksa dan termasuk ke dalam kelompok marga Si Opat Pusoran.[1]"""
